X,Y
306,0
306,1
306,2
306,3
306,4
305,5
305,6
305,7
305,8
305,9
304,10
304,11
304,12
304,13
304,14
303,15
303,16
303,17
303,18
303,19
303,20
302,21
302,22
302,23
302,24
302,25
302,26
302,27
301,28
301,29
301,30
301,31
301,32
301,33
301,34
300,35
300,36
300,37
300,38
300,39
300,40
300,41
300,42
300,43
299,44
299,45
299,46
299,47
299,48
299,49
299,50
299,51
299,52
299,53
299,54
298,55
298,56
298,57
298,58
298,59
298,60
298,61
298,62
298,63
298,64
298,65
298,66
298,67
297,68
297,69
297,70
297,71
297,72
297,73
297,74
297,75
297,76
297,77
297,78
297,79
297,80
297,81
297,82
297,83
297,84
296,85
296,86
296,87
296,88
296,89
296,90
296,91
296,92
296,93
296,94
296,95
296,96
296,97
296,98
296,99
296,100
296,101
296,102
296,103
296,104
296,105
295,106
295,107
295,108
295,109
295,110
295,111
295,112
295,113
295,114
295,115
295,116
295,117
295,118
295,119
295,120
295,121
295,122
295,123
295,124
295,125
295,126
295,127
295,128
295,129
294,130
294,131
294,132
294,133
294,134
294,135
294,136
294,137
294,138
294,139
294,140
294,141
294,142
294,143
294,144
294,145
294,146
294,147
294,148
294,149
294,150
294,151
294,152
294,153
294,154
294,155
293,156
293,157
293,158
293,159
293,160
293,161
293,162
293,163
293,164
293,165
293,166
293,167
293,168
293,169
293,170
293,171
293,172
293,173
293,174
293,175
293,176
293,177
293,178
293,179
293,180
293,181
293,182
293,183
293,184
293,185
293,186
293,187
293,188
293,189
293,190
293,191
293,192
293,193
293,194
293,195
293,196
293,197
293,198
293,199
293,200
293,201
293,202
293,203
293,204
293,205
293,206
293,207
293,208
293,209
293,210
293,211
293,212
293,213
293,214
293,215
293,216
293,217
293,218
293,219
293,220
293,221
293,222
293,223
293,224
293,225
293,226
293,227
293,228
293,229
294,230
294,231
294,232
294,233
294,234
294,235
294,236
294,237
294,238
294,239
294,240
294,241
295,242
295,243
295,244
295,245
295,246
295,247
295,248
295,249
295,250
296,251
296,252
296,253
296,254
296,255
296,256
297,257
297,258
297,259
297,260
297,261
297,262
298,263
298,264
298,265
298,266
298,267
299,268
299,269
299,270
299,271
300,272
300,273
300,274
300,275
301,276
301,277
301,278
301,279
302,280
302,281
302,282
302,283
303,284
303,285
303,286
304,287
304,288
304,289
305,290
305,291
305,292
306,293
306,294
307,295
307,296
307,297
308,298
308,299
309,300
